intf_name,name,key,type,api,indexs,searchable,quickSearch,changeable,timeout,ext,jar,playerType,categories
0821,🎁听书┃博看听书[js],drpy_js_博看听书,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,0,15,https://tv.203511.xyz/js/博看听书.js,-,-1,-
0821,🎏听书┃有声小说[js],有声小说js,3,https://tv.203511.xyz/lib/drpy2.min.js,0,0,0,0,15,https://tv.203511.xyz/js/有声小说吧.js,-,-1,-
0821,🎄评书┃评书随身听[js],drpy_js_评书随身听,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,0,15,https://tv.203511.xyz/js/评书随身听.js,-,-1,-
0821,🎭相声┃相声随身听[js],drpy_js_相声随身听,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,0,15,https://tv.203511.xyz/js/相声随身听.js,-,-1,-
0821,🏐广播┃广播迷FM[js],drpy_js_广播迷FM,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,0,15,https://tv.203511.xyz/js/广播迷FM.js,-,-1,-
0821,🍆广播┃蜻蜓FM[js],drpy_js_蜻蜓FM,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,0,15,https://tv.203511.xyz/js/蜻蜓FM.js,-,-1,-
0821,🍌音频┃DJ音乐[js],drpy_js_DJ音乐,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,0,15,https://tv.203511.xyz/js/DJ音乐.js,-,-1,-
0821,🥗MV┃酷奇[js],drpy_js_酷奇MV,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,0,15,https://tv.203511.xyz/js/酷奇MV.js,-,-1,-
0821,🍡手机┃推送,push_agent,3,csp_Push,0,0,1,0,60,-,-,-1,-
0821,🍋AList┃网盘,csp_AList,3,csp_AList,0,0,0,0,15,https://tv.203511.xyz/json/alist.json,-,-1,-
0821,🦢导航www.203511.xyz,bb,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,1,15,https://tv.203511.xyz/js/drpy.js,-,-1,-
0821,🐹请勿相信视频中任何广告,cc,3,https://tv.203511.xyz/lib/drpy2.min.js,0,1,1,1,15,https://tv.203511.xyz/js/drpy.js,-,-1,-
